id,kategorie,frage,antwortoptionen,korrekte_antwort,schwierigkeitsgrad,tag,erklaerung
28,Name Recall (Historische),Welcher König führte die Normannische Eroberung Englands an?,"[""Wilhelm der Eroberer"","" Heinrich II"","" Richard Löwenherz"","" Eduard der Bekenner""]",Wilhelm der Eroberer,3,Mittelalter,1066: Normannische Eroberung
29,Logikrätsel,"Welches Wort passt nicht in die Reihe: Apfel, Birne, Banane, Auto?","[""Auto"","" Banane"","" Birne"","" Apfel""]",Auto,1,Kategorisierung,Auto gehört nicht zur Kategorie Obst
30,Logikrätsel,"Wenn drei Hühner in 3 Tagen 3 Eier legen, wie viele Eier legt ein Huhn in 1 Tag?","[""1"","" 2"","" 3"","" 0"",""5""]",3-Jan,2,Denksport,"Proportionale Überlegung. (Habe 0,5 zu 1/3 geändert, da die Frage nach einem Huhn fragt.)"
31,Logikrätsel,"Ein Zug fährt 100 km/h. Wie lange braucht er, um 150 km zu fahren?","[""1"",""5 Stunden"","" 2 Stunden"","" 1 Stunde"","" 3 Stunden""]","1,5 Stunden",2,Zeitrechnung,Zeit = Strecke / Geschwindigkeit
32,Wortschatz/Rechtschreibung,Welches Wort ist korrekt geschrieben?,"[""Empfehlung"","" Empehlung"","" Empfelung"","" Empfehlung""]",Empfehlung,1,Rechtschreibung,Standarddeutsche Schreibweise
33,Wortschatz/Rechtschreibung,Welche Formulierung ist korrekt?,"[""Laut dem Bericht"","" Gemäß dem Bericht"","" Nach dem Bericht"","" Aufgrund dem Bericht""]",Gemäß dem Bericht,2,Grammatik,Richtige Präposition und Kasus
34,Wortschatz/Rechtschreibung,Welcher Satz ist grammatikalisch richtig?,"[""Er hat das Buch gelesen."","" Er gelesen das Buch."","" Das Buch er hat gelesen."","" Er hat gelesen das Buch.""]",Er hat das Buch gelesen.,1,Grammatik,Standard Satzbau
35,Wortschatz/Rechtschreibung,Welcher Plural ist korrekt?,"[""Auto"","" Autos"","" Autoes"","" Auton""]",Autos,1,Wortschatz,Regelmäßige Pluralbildung
36,Daily Trivia,Welcher Planet ist der sonnennächste?,"[""Merkur"","" Venus"","" Erde"","" Mars""]",Merkur,1,Astronomie,Merkur ist der sonnennächste Planet
37,Daily Trivia,In welchem Jahr endete der Zweite Weltkrieg?,"[""1945"","" 1944"","" 1939"","" 1950""]",1945,1,Geschichte,Zweiter Weltkrieg endete 1945
38,Daily Trivia,Wer malte die Mona Lisa?,"[""Leonardo da Vinci"","" Pablo Picasso"","" Vincent van Gogh"","" Rembrandt""]",Leonardo da Vinci,2,Kunst,Meisterwerk der Renaissance
39,Daily Trivia,Wie viele Planeten hat unser Sonnensystem?,"[""8"","" 9"","" 7"","" 10""]",8,2,Astronomie,Nach Pluto: 8 Planeten
40,Daily Trivia,Welches Element hat das chemische Symbol O?,"[""Oxygen"","" Osmium"","" Oxid"","" Oganesson""]",Oxygen,1,Chemie,Oxygen = Sauerstoff
41,Wissenschaft,Was ist die chemische Formel von Wasser?,"[""H2O"","" CO2"","" NaCl"","" O2""]",H2O,1,Chemie,Wasser besteht aus H2O
42,Wissenschaft,Woraus besteht die Erdatmosphäre hauptsächlich?,"[""Stickstoff"","" Sauerstoff"","" Argon"","" Kohlendioxid""]",Stickstoff,1,Physik,Etwa 78% der Atmosphäre sind Stickstoff
43,Geschichte,In welchem Jahr fiel die Berliner Mauer?,"[""1989"","" 1991"","" 1987"","" 1990""]",1989,2,Zeitgeschichte,Mauerfall markierte das Ende des Kalten Krieges
44,Mathe,Wie viel sind 25% von 80?,"[""20"","" 25"","" 30"","" 15""]",20,1,Prozentrechnung,-
45,Mathe,Wie viele Stunden hat ein Tag?,"[""12"","" 24"","" 36"","" 48""]",24,1,Zeitrechnung,-
46,Mathe,Ein Quadrat hat 4 cm Seitenlänge. Wie groß ist der Umfang?,"[""8 cm"","" 12 cm"","" 16 cm"","" 20 cm""]",16 cm,2,Geometrie,4 × Seitenlänge
47,Geografie,Wie heißt die Hauptstadt von Bayern?,"[""München"","" Berlin"","" Stuttgart"","" Dresden""]",München,1,Deutschland,-
48,Geografie,Welcher Berg ist der höchste in Deutschland?,"[""Zugspitze"","" Brocken"","" Feldberg"","" Watzmann""]",Zugspitze,2,Gebirge,2.962 m
49,Geografie,Welches Land liegt zwischen Frankreich und Spanien?,"[""Schweiz"","" Italien"","" Andorra"","" Belgien""]",Andorra,3,Europa,-
50,Name Recall (Historische),"Wer schrieb ""Die unendliche Geschichte""?","[""Michael Ende"","" Erich Kästner"","" Cornelia Funke"","" James Krüss""]",Michael Ende,2,Literatur,-
51,Name Recall (Historische),Wer erfand das Telefon?,"[""Alexander Graham Bell"","" Thomas Edison"","" Nikola Tesla"","" Albert Einstein""]",Alexander Graham Bell,2,Technik,-
52,Name Recall (Historische),Wie hieß der erste deutsche Bundespräsident?,"[""Theodor Heuss"","" Walter Scheel"","" Richard von Weizsäcker"","" Gustav Heinemann""]",Theodor Heuss,3,Politik,-
53,Logikrätsel,"Was hat Städte, aber keine Häuser, Wälder aber keine Bäume und Straßen, aber keine Autos?","[""Landkarte"","" Wald"","" Himmel"","" Meer""]",Landkarte,1,Wortspiel,-
54,Logikrätsel,"Wenn 3 Äpfel 1,50€ kosten – was kosten 6 Äpfel?","[""3€"","" 2"",""50€"","" 4€"","" 4"",""50€""]",3 €,2,Alltagsmathe,Doppelte Menge = doppelter Preis
55,Logikrätsel,Welcher Monat hat 28 Tage?,"[""Februar"","" Dezember"","" Alle"","" Januar""]",Alle,3,Kalender,-
56,Wortschatz,Welches Wort ist richtig geschrieben?,"[""Fenster"","" Fänster"","" Fenstar"","" Fennster""]",Fenster,1,Rechtschreibung,-
57,Wortschatz,"Wie heißt die weibliche Form von ""Lehrer""?","[""Lehrerin"","" Lehrende"","" Lehrkraft"","" Lehrerin""]",Lehrerin,1,Grammatik,-
58,Wortschatz,"Welcher Artikel passt: ""___ Butter""?","[""die"","" der"","" das"","" den""]",die,2,Grammatik,-
59,Daily Trivia,Welches Tier symbolisiert Glück in Deutschland?,"[""Marienkäfer"","" Hase"","" Fuchs"","" Eichhörnchen""]",Marienkäfer,1,Kultur,-
60,Daily Trivia,Welches Gemüse ist typisch für den Herbst?,"[""Kürbis"","" Gurke"","" Tomate"","" Paprika""]",Kürbis,1,Jahreszeiten,-
61,Daily Trivia,Wie viele Bundesländer hat Deutschland?,"[""12"","" 14"","" 16"","" 18""]",16,2,Politik,-
62,Sprichwörter,"""Wer rastet, ...""","[""der rostet"","" der verliert"","" der schläft"","" der gewinnt""]",der rostet,1,Sprichwörter,-
63,Sprichwörter,"""In der Kürze liegt die ...""","[""Würze"","" Kunst"","" Wahrheit"","" Liebe""]",Würze,2,Sprichwörter,-
64,Allgemeinwissen,Wie viele Tage hat ein Schaltjahr?,"[""365"","" 366"","" 364"","" 367""]",366,1,Kalender,-
65,Allgemeinwissen,Welches Organ pumpt Blut?,"[""Leber"","" Herz"","" Niere"","" Lunge""]",Herz,1,Biologie,-
66,Allgemeinwissen,Welches Vitamin stärkt die Knochen?,"[""Vitamin C"","" Vitamin D"","" Vitamin A"","" Vitamin B12""]",Vitamin D,2,Gesundheit,-
67,Logikrätsel,"Was passt nicht in die Reihe: Auto, Zug, Flugzeug, Buch?","[""Buch"","" Zug"","" Flugzeug"","" Auto""]",Buch,1,Kategorien,-
68,Mathe,Wie viel ist 7 × 8?,"[""54"","" 56"","" 58"","" 60""]",56,1,Grundrechenarten,-
69,Geografie,Welcher Fluss fließt durch Köln?,"[""Rhein"","" Donau"","" Elbe"","" Main""]",Rhein,2,Deutschland,-
